id	name	weight	volume	type
VmALl	Automobile Parts	14092	28.1840	Normal
7qZWj	Home Appliances	61669	61.6690	Normal
sTn7G	Chemicals	129	0.1290	Dangerous
r4qyo	Food	20898	16.7184	Normal
K1bYD	Bottled Products	5765	5.7650	Normal
7FUSB	Apparel	293	0.0586	Normal
eKtBZ	Medical Equipment	1187	2.3740	Delicate
4DmxF	Bottled Beverages	3035	3.0350	Normal
zpGCn	Medical Equipment	1138	2.2760	Delicate
rKGAX	Home Appliances	26315	26.3150	Normal
vn27Q	Food	20114	16.0912	Normal
mGda7	Apparel	830	0.1660	Normal
Xbpoz	Medical Equipment	1512	3.0240	Delicate
Elw2o	Bottled Beverages	10725	10.7250	Normal
xpc3N	Bottled Products	620	0.6200	Normal
yMLJe	Chemicals	210	0.2100	Dangerous
eiVKc	Delicate Machinery	1605	3.2100	Delicate
NKqL9	Automobile Parts	23603	47.2060	Normal
exqj8	Bottled Beverages	487	0.4870	Normal
lJMbr	Apparel	962	0.1924	Normal
ftKHD	Apparel	632	0.1264	Normal
QkTiG	Bottled Beverages	5563	5.5630	Normal
XVNZL	Bottled Products	7134	7.1340	Normal
UT82r	Bottled Beverages	9279	9.2790	Normal
9pTIr	Electronics	549	0.2745	Normal
iyVxw	Medical Equipment	1366	2.7320	Delicate
YH49E	Apparel	716	0.1432	Normal
1zXIF	Home Appliances	58513	58.5130	Normal
tVIub	Arts and Crafts	477	0.4770	Delicate
gKhY8	Delicate Machinery	38513	77.0260	Delicate
97KZm	Medical Equipment	2289	4.5780	Delicate
obITx	Machinery	42740	85.4800	Normal
Rx7QP	Automobile Parts	11867	23.7340	Normal
1WTtA	Home Appliances	28682	28.6820	Normal
J3T9B	Furniture	10590	10.5900	Normal
HG9T0	Medical Equipment	1892	3.7840	Delicate
2ohW0	Machinery	45065	90.1300	Normal
djs5A	Automobile Parts	14279	28.5580	Normal
dNe5p	Automobile Parts	10602	21.2040	Normal
Hv1O8	Bottled Products	2473	2.4730	Normal
9EBwn	Delicate Machinery	21035	42.0700	Delicate
CNZtL	Medical Equipment	1060	2.1200	Delicate
CbfGW	Apparel	163	0.0326	Normal
hfHsI	Machinery	1125	2.2500	Normal
5kuNp	Bottled Beverages	13758	13.7580	Normal
39Jon	Furniture	14052	14.0520	Normal
b1iON	Home Appliances	61542	61.5420	Normal
Wu34p	Machinery	62305	124.6100	Normal
1MVJN	Chemicals	194	0.1940	Dangerous
ebvyT	Automobile Parts	1739	3.4780	Normal
mHATV	Chemicals	100	0.1000	Dangerous
JVTou	Automobile Parts	14750	29.5000	Normal
aKdPj	Chemicals	293	0.2930	Dangerous
6d5iz	Bottled Beverages	1055	1.0550	Normal
JOvu1	Medical Equipment	2244	4.4880	Delicate
UBwAm	Automobile Parts	3802	7.6040	Normal
H6YfO	Automobile Parts	24526	49.0520	Normal
bYyeV	Food	23525	18.8200	Normal
On9xZ	Medical Equipment	1034	2.0680	Delicate
9Owb2	Home Appliances	16573	16.5730	Normal
wfnbt	Machinery	28229	56.4580	Normal
RBevC	Electronics	150	0.0750	Normal
sd5Ew	Food	2846	2.2768	Normal
AUB46	Bottled Products	2619	2.6190	Normal
NbL0I	Home Appliances	95824	95.8240	Normal
eW6j1	Electronics	675	0.3375	Normal
YeXG2	Furniture	6659	6.6590	Normal
DbQNp	Medical Equipment	1224	2.4480	Delicate
B7XSZ	Delicate Machinery	46411	92.8220	Delicate
goHDf	Food	23537	18.8296	Normal
mz67q	Home Appliances	73819	73.8190	Normal
ajexn	Delicate Machinery	37098	74.1960	Delicate
GBne1	Automobile Parts	7170	14.3400	Normal
UEki3	Medical Equipment	2447	4.8940	Delicate
LfIuv	Arts and Crafts	646	0.6460	Delicate
nXfZS	Apparel	900	0.1800	Normal
G8DX5	Bottled Beverages	1602	1.6020	Normal
1wQHW	Medical Equipment	2477	4.9540	Delicate
TuoEp	Electronics	818	0.4090	Normal
q9kiG	Medical Equipment	1265	2.5300	Delicate
qZDI9	Medical Equipment	902	1.8040	Delicate
7S8oR	Chemicals	33	0.0330	Dangerous
DiEKO	Arts and Crafts	600	0.6000	Delicate
grYsw	Electronics	596	0.2980	Normal
keN48	Machinery	18959	37.9180	Normal
GeDB3	Furniture	14739	14.7390	Normal
cEgBD	Arts and Crafts	610	0.6100	Delicate
Ju4pr	Bottled Products	9787	9.7870	Normal
qXnPh	Furniture	14657	14.6570	Normal
WNKre	Bottled Beverages	9020	9.0200	Normal
J62Fz	Arts and Crafts	467	0.4670	Delicate
GWiQH	Chemicals	196	0.1960	Dangerous
SjMHQ	Arts and Crafts	442	0.4420	Delicate
FIbko	Furniture	5061	5.0610	Normal
HStlC	Bottled Beverages	9688	9.6880	Normal
zbdyV	Food	24742	19.7936	Normal
nbDx4	Apparel	650	0.1300	Normal
Ek8LK	Food	3827	3.0616	Normal
jEheY	Furniture	13840	13.8400	Normal
hf1uW	Home Appliances	57616	57.6160	Normal
qxJQM	Automobile Parts	24031	48.0620	Normal
vU5EA	Home Appliances	50013	50.0130	Normal
TcStx	Apparel	296	0.0592	Normal
dy2IP	Medical Equipment	2065	4.1300	Delicate
81yo9	Electronics	948	0.4740	Normal
7meqU	Home Appliances	99177	99.1770	Normal
vXcl2	Delicate Machinery	23590	47.1800	Delicate
RcwFb	Furniture	13924	13.9240	Normal
FZ4hQ	Machinery	17638	35.2760	Normal
fOC3x	Apparel	903	0.1806	Normal
fEdLB	Machinery	80225	160.4500	Normal
mwrLg	Machinery	89619	179.2380	Normal
1kouf	Electronics	361	0.1805	Normal
dSZRm	Bottled Products	1348	1.3480	Normal
E9wsi	Home Appliances	91077	91.0770	Normal
CcrX3	Machinery	74677	149.3540	Normal
GSox0	Bottled Products	4970	4.9700	Normal
804yI	Chemicals	219	0.2190	Dangerous
VcYML	Chemicals	433	0.4330	Dangerous
o7EAs	Chemicals	150	0.1500	Dangerous
rEAM3	Apparel	270	0.0540	Normal
tsAMa	Bottled Beverages	8092	8.0920	Normal
ycHoQ	Furniture	9919	9.9190	Normal
0S2RQ	Electronics	983	0.4915	Normal
Uwu9l	Apparel	296	0.0592	Normal
EUHvZ	Electronics	309	0.1545	Normal
3uJ1a	Electronics	31	0.0155	Normal
RegJ0	Furniture	9789	9.7890	Normal
0usFY	Machinery	27631	55.2620	Normal
ENmka	Medical Equipment	2430	4.8600	Delicate
x4JKC	Medical Equipment	799	1.5980	Delicate
vRn1Z	Food	23544	18.8352	Normal
xs1b6	Apparel	9	0.0018	Normal
WSdUr	Arts and Crafts	888	0.8880	Delicate
Z4LBj	Chemicals	135	0.1350	Dangerous
9L8ad	Food	1104	0.8832	Normal
q8CaP	Machinery	47863	95.7260	Normal
c4VWe	Delicate Machinery	33201	66.4020	Delicate
mcJfz	Home Appliances	60897	60.8970	Normal
WUnOM	Apparel	250	0.0500	Normal
FaxnJ	Bottled Beverages	2934	2.9340	Normal
YKh7w	Apparel	244	0.0488	Normal
tQwK6	Electronics	50	0.0250	Normal
ruMPB	Home Appliances	72820	72.8200	Normal
xCHiP	Arts and Crafts	963	0.9630	Delicate
guKt4	Electronics	760	0.3800	Normal
h3XaM	Bottled Products	1701	1.7010	Normal
5Flu8	Automobile Parts	3786	7.5720	Normal
52wUS	Electronics	311	0.1555	Normal
MpWdw	Bottled Products	7205	7.2050	Normal
QlzSt	Food	6375	5.1000	Normal
lwXD7	Arts and Crafts	801	0.8010	Delicate
BS6cN	Automobile Parts	3051	6.1020	Normal
rn8Sf	Food	23026	18.4208	Normal
7ob6x	Chemicals	206	0.2060	Dangerous
nca7z	Apparel	190	0.0380	Normal
4F9bS	Furniture	2832	2.8320	Normal
1nhHj	Electronics	628	0.3140	Normal
py5z7	Furniture	1235	1.2350	Normal
SmCgR	Electronics	506	0.2530	Normal
2uqao	Arts and Crafts	742	0.7420	Delicate
DWXxK	Machinery	17388	34.7760	Normal
HmBwG	Delicate Machinery	32428	64.8560	Delicate
t9AFm	Apparel	658	0.1316	Normal
kLHyg	Home Appliances	14144	14.1440	Normal
Vmt8g	Food	21853	17.4824	Normal
8lv4P	Home Appliances	64897	64.8970	Normal
bKx9B	Apparel	142	0.0284	Normal
bxKu6	Furniture	10391	10.3910	Normal
UEJdl	Bottled Products	1755	1.7550	Normal
wzF61	Food	13915	11.1320	Normal
rb0HN	Arts and Crafts	475	0.4750	Delicate
RoXWj	Electronics	954	0.4770	Normal
P1ZOV	Furniture	3721	3.7210	Normal
b4iPr	Food	12013	9.6104	Normal
2tHEf	Food	703	0.5624	Normal
HajdJ	Automobile Parts	7694	15.3880	Normal
V3NIj	Bottled Beverages	11860	11.8600	Normal
XqQbK	Chemicals	361	0.3610	Dangerous
EhMzK	Apparel	948	0.1896	Normal
EAUrn	Bottled Products	7714	7.7140	Normal
0TnAP	Medical Equipment	927	1.8540	Delicate
wFHnf	Medical Equipment	24	0.0480	Delicate
T3rc5	Furniture	13799	13.7990	Normal
q4X72	Medical Equipment	2015	4.0300	Delicate
qXVpd	Arts and Crafts	246	0.2460	Delicate
mwLlN	Furniture	13922	13.9220	Normal
pvngE	Apparel	835	0.1670	Normal
7gYEe	Furniture	5908	5.9080	Normal
yoz5g	Machinery	64750	129.5000	Normal
rCZV1	Furniture	5848	5.8480	Normal
jT9mJ	Apparel	346	0.0692	Normal
xBzil	Food	6854	5.4832	Normal
ixQav	Apparel	745	0.1490	Normal
8XHzT	Arts and Crafts	557	0.5570	Delicate
vpoLZ	Home Appliances	97464	97.4640	Normal
ORhVy	Home Appliances	12818	12.8180	Normal
w3pRx	Home Appliances	26365	26.3650	Normal
2ltzc	Chemicals	173	0.1730	Dangerous
ma6h9	Apparel	294	0.0588	Normal
K5EOs	Chemicals	310	0.3100	Dangerous
pk28m	Medical Equipment	2387	4.7740	Delicate
VbJ1k	Arts and Crafts	950	0.9500	Delicate
0kDco	Machinery	56636	113.2720	Normal
u5J96	Bottled Products	1052	1.0520	Normal
JVdWl	Automobile Parts	5153	10.3060	Normal
Lh8Rc	Apparel	464	0.0928	Normal
SRXUZ	Medical Equipment	1669	3.3380	Delicate
zcuo4	Electronics	961	0.4805	Normal
ektrB	Arts and Crafts	450	0.4500	Delicate
H0Nrv	Furniture	1990	1.9900	Normal
13YTJ	Arts and Crafts	984	0.9840	Delicate
p9PCn	Furniture	4887	4.8870	Normal
lj4bE	Bottled Beverages	9490	9.4900	Normal
UkMZX	Delicate Machinery	4489	8.9780	Delicate
hr1HU	Bottled Beverages	5358	5.3580	Normal
U5ZzP	Furniture	11449	11.4490	Normal
e7JnK	Electronics	217	0.1085	Normal
LZXxW	Machinery	95277	190.5540	Normal
TsFwA	Apparel	686	0.1372	Normal
6Zu2s	Bottled Beverages	6844	6.8440	Normal
eWSfm	Automobile Parts	1462	2.9240	Normal
dkTtH	Apparel	367	0.0734	Normal
b7pA8	Apparel	578	0.1156	Normal
1Plpx	Medical Equipment	1121	2.2420	Delicate
hnPd9	Arts and Crafts	469	0.4690	Delicate
JKP6D	Apparel	811	0.1622	Normal
WEkb7	Delicate Machinery	287	0.5740	Delicate
nyf2e	Arts and Crafts	612	0.6120	Delicate
tQL93	Furniture	4013	4.0130	Normal
R2AHa	Electronics	476	0.2380	Normal
6LDbz	Apparel	681	0.1362	Normal
9ufcZ	Chemicals	87	0.0870	Dangerous
jke6c	Food	12479	9.9832	Normal
hSXt7	Food	18882	15.1056	Normal
hHORC	Automobile Parts	2054	4.1080	Normal
Pi32t	Electronics	974	0.4870	Normal
KGJAD	Arts and Crafts	63	0.0630	Delicate
2usmk	Furniture	5112	5.1120	Normal
4WkgX	Bottled Products	2544	2.5440	Normal
w2Kpz	Chemicals	328	0.3280	Dangerous
Mgp27	Apparel	847	0.1694	Normal
YMVwx	Furniture	14284	14.2840	Normal
EsGZC	Automobile Parts	13830	27.6600	Normal
tvyZT	Arts and Crafts	315	0.3150	Delicate
sf03t	Furniture	2015	2.0150	Normal
dW0TS	Arts and Crafts	911	0.9110	Delicate
Vq10P	Delicate Machinery	13508	27.0160	Delicate
PVThJ	Bottled Products	1545	1.5450	Normal
vKpln	Arts and Crafts	8	0.0080	Delicate
aGXJx	Delicate Machinery	5274	10.5480	Delicate
CUSaY	Apparel	516	0.1032	Normal
bjkHe	Bottled Beverages	11815	11.8150	Normal
ARdJL	Machinery	56298	112.5960	Normal
Pbt1i	Electronics	456	0.2280	Normal
Rb6Nc	Bottled Products	5392	5.3920	Normal
hGvOD	Machinery	20989	41.9780	Normal
oOcG0	Bottled Beverages	3457	3.4570	Normal
