id	origin	destination	route	departure	vehicle
IIC011	SCL	PMC	STPMA	2/04/2015 - 10:30	A2001
IIC012	PMC	PUQ	PMPAA	2/04/2015 - 12:30	A2001
IIC013	PUQ	PMC	PMPAA	2/04/2015 - 15:30	A2001
IIC014	PMC	SCL	STPMA	2/04/2015 - 17:30	A2001
IIC015	SCL	PMC	STPMA	3/04/2015 - 10:30	A2001
IIC016	PMC	PUQ	PMPAA	3/04/2015 - 12:30	A2001
IIC017	PUQ	PMC	PMPAA	3/04/2015 - 15:30	A2001
IIC018	PMC	SCL	STPMA	3/04/2015 - 17:30	A2001
IIC019	SCL	PMC	STPMA	4/04/2015 - 10:30	A2001
IIC01A	PMC	PUQ	PMPAA	4/04/2015 - 12:30	A2001
IIC01B	PUQ	PMC	PMPAA	4/04/2015 - 15:30	A2001
IIC01C	PMC	SCL	STPMA	4/04/2015 - 17:30	A2001
IIC01D	SCL	PMC	STPMA	5/04/2015 - 10:30	A2001
IIC01E	PMC	PUQ	PMPAA	5/04/2015 - 12:30	A2001
IIC01F	PUQ	PMC	PMPAA	5/04/2015 - 15:30	A2001
IIC01G	PMC	SCL	STPMA	5/04/2015 - 17:30	A2001
IIC021	SCL	ZCO	STTMA	2/04/2015 - 10:45	A2002
IIC022	ZCO	SCL	STTMA	2/04/2015 - 12:45	A2002
IIC023	SCL	ZAL	STVDA	2/04/2015 - 16:45	A2002
IIC024	ZAL	SCL	STVDA	2/04/2015 - 18:45	A2002
IIC025	SCL	ZCO	STTMA	3/04/2015 - 10:45	A2002
IIC026	ZCO	SCL	STTMA	3/04/2015 - 12:45	A2002
IIC027	SCL	ZAL	STVDA	3/04/2015 - 16:45	A2002
IIC028	ZAL	SCL	STVDA	3/04/2015 - 18:45	A2002
IIC029	SCL	ZCO	STTMA	4/04/2015 - 10:45	A2002
IIC02A	ZCO	SCL	STTMA	4/04/2015 - 12:45	A2002
IIC02B	SCL	ZAL	STVDA	4/04/2015 - 16:45	A2002
IIC02C	ZAL	SCL	STVDA	4/04/2015 - 18:45	A2002
IIC02D	SCL	ZCO	STTMA	5/04/2015 - 10:45	A2002
IIC02E	ZCO	SCL	STTMA	5/04/2015 - 12:45	A2002
IIC02F	SCL	ZAL	STVDA	5/04/2015 - 16:45	A2002
IIC02G	ZAL	SCL	STVDA	5/04/2015 - 18:45	A2002
IIC031	SCL	CCP	STCCA	2/04/2015 - 8:30	A2003
IIC032	CCP	SCL	STCCA	2/04/2015 - 10:30	A2003
IIC033	SCL	ZPC	STPCA	2/04/2015 - 16:00	A2003
IIC034	ZPC	SCL	STPCA	2/04/2015 - 19:00	A2003
IIC035	SCL	CCP	STCCA	3/04/2015 - 8:30	A2003
IIC036	CCP	SCL	STCCA	3/04/2015 - 10:30	A2003
IIC037	SCL	ZPC	STPCA	3/04/2015 - 16:00	A2003
IIC038	ZPC	SCL	STPCA	3/04/2015 - 19:00	A2003
IIC039	SCL	CCP	STCCA	4/04/2015 - 8:30	A2003
IIC03A	CCP	SCL	STCCA	4/04/2015 - 10:30	A2003
IIC03B	SCL	ZPC	STPCA	4/04/2015 - 16:00	A2003
IIC03C	ZPC	SCL	STPCA	4/04/2015 - 19:00	A2003
IIC03D	SCL	CCP	STCCA	5/04/2015 - 8:30	A2003
IIC03E	CCP	SCL	STCCA	5/04/2015 - 10:30	A2003
IIC03F	SCL	ZPC	STPCA	5/04/2015 - 16:00	A2003
IIC03G	ZPC	SCL	STPCA	5/04/2015 - 19:00	A2003
IIC041	SCL	CJC	STCLA	2/04/2015 - 7:30	A2004
IIC042	CJC	ARI	CLARA	2/04/2015 - 10:05	A2004
IIC043	ARI	CJC	CLARA	2/04/2015 - 18:15	A2004
IIC044	CJC	SCL	STCLA	2/04/2015 - 19:30	A2004
IIC045	SCL	CJC	STCLA	3/04/2015 - 7:30	A2004
IIC046	CJC	ARI	CLARA	3/04/2015 - 10:05	A2004
IIC047	ARI	CJC	CLARA	3/04/2015 - 18:15	A2004
IIC048	CJC	SCL	STCLA	3/04/2015 - 19:30	A2004
IIC049	SCL	CJC	STCLA	4/04/2015 - 7:30	A2004
IIC04A	CJC	ARI	CLARA	4/04/2015 - 10:05	A2004
IIC04B	ARI	CJC	CLARA	4/04/2015 - 18:15	A2004
IIC04C	CJC	SCL	STCLA	4/04/2015 - 19:30	A2004
IIC04D	SCL	CJC	STCLA	5/04/2015 - 7:30	A2004
IIC04E	CJC	ARI	CLARA	5/04/2015 - 10:05	A2004
IIC04F	ARI	CJC	CLARA	5/04/2015 - 18:15	A2004
IIC04G	CJC	SCL	STCLA	5/04/2015 - 19:30	A2004
IIC051	SCL	ANF	STAFA	2/04/2015 - 7:45	A2005
IIC052	ANF	IQQ	AFIQA	2/04/2015 - 10:15	A2005
IIC053	IQQ	ANF	AFIQA	2/04/2015 - 18:15	A2005
IIC054	ANF	SCL	STAFA	2/04/2015 - 19:30	A2005
